rank,region,ip,port,source,score
1,HK,172.64.148.42,2053,PINNED-STABLE,-999999
2,HK,172.64.148.42,2087,PINNED-STABLE,-999999
3,TW,172.64.149.181,8443,BETTBOX-SEEN-OK,-899990
4,TW,172.64.149.144,2096,BETTBOX-SEEN-OK,-899980
5,US,172.64.147.120,8443,BETTBOX-SEEN-OK,-899975
6,US,172.64.147.118,2053,focus_148_connect_top.csv,223
7,US,172.64.148.107,8443,focus_148_connect_top.csv,225
8,JP,172.64.147.189,443,focus_148_connect_top.csv,229
9,JP,172.64.148.90,2083,focus_148_connect_top.csv,234
10,KR,172.64.148.113,2087,focus_148_connect_top.csv,237
11,KR,172.64.147.152,2096,focus_148_connect_top.csv,238
12,SG,172.64.147.50,2096,focus_148_connect_top.csv,244
13,SG,172.64.147.22,2096,focus_148_connect_top.csv,246
14,MY,172.64.148.22,2053,focus_148_connect_top.csv,246
15,MY,172.64.147.138,2096,focus_148_connect_top.csv,248
16,IN,172.64.147.100,2053,focus_148_connect_top.csv,253
17,IN,172.64.149.195,8443,focus_148_connect_top.csv,253
18,VN,172.64.147.65,2087,focus_148_connect_top.csv,254
19,VN,172.64.147.14,2083,focus_148_connect_top.csv,256
20,HK,172.64.148.191,2053,focus_148_connect_top.csv,257
