rank,ip,port,source,g204_ms,robots_bytes,robots_speed_Bps,robots_time_s,score
1,172.64.147.115,2083,lowms_best20,691,6607,8843,0.747097,205427.5
2,172.66.3.75,8443,realuse20,673,6607,6368,1.037511,205616.8
3,172.64.147.115,2053,lowms_best20,745,6607,9986,0.661584,205779.2
4,172.66.3.63,443,realuse20,811,6607,8252,0.800631,206490.6
5,172.66.3.76,2096,realuse20,852,6607,9054,0.729660,206734.2
6,172.66.3.63,2083,realuse20,909,6607,7756,0.851854,207621.9
7,172.66.3.56,2096,realuse20,933,6607,6840,0.965907,207644.1
8,172.66.3.67,2096,realuse20,965,6607,8895,0.742712,207670.7
9,172.66.3.68,2087,realuse20,955,6607,7592,0.870202,207779.6
10,172.66.3.74,2083,realuse20,1019,6607,9680,0.682484,208015.0
11,172.66.3.62,2083,realuse20,1005,6607,5557,1.188863,208296.0
12,172.66.3.74,2087,realuse20,1046,6607,8169,0.808741,208386.4
13,172.66.3.72,2053,realuse20,1057,6607,6954,0.950096,208585.5
14,172.66.3.63,2053,realuse20,1081,6607,9261,0.713345,208699.0
15,172.66.3.63,8443,realuse20,1200,6607,9428,0.700770,209496.8
16,172.66.3.57,8443,realuse20,1289,6607,3223,2.049416,212266.4
17,172.66.3.56,2087,realuse20,1554,6607,5633,1.172842,212798.8
18,198.41.208.216,2096,xray_vless_real_results.csv,1510,6607,3166,2.086756,212844.4
19,104.17.22.30,443,lowms_best20,1630,6607,4921,1.342423,213528.4
20,198.41.208.158,2083,xray_vless_real_results.csv,1696,6607,2177,3.034522,214644.2
