rank,ip,port,connect_ms,appconnect_ms,g204_ms,robots_speed_Bps,robots_time_s,score
1,172.64.148.42,2087,37,82,466,14515,0.455171,2604.2
2,172.64.147.115,2083,39,100,485,16359,0.403867,2627.7
3,172.64.148.42,8443,38,96,450,12302,0.537037,2761.1
4,172.64.148.42,2053,33,79,531,14832,0.445449,2879.4
5,172.64.147.115,2096,41,129,583,15093,0.437749,3427.7
6,172.64.148.42,2096,38,92,613,13532,0.488216,3616.4
7,172.64.147.162,2087,35,227,1066,2107,3.134846,8158.1
8,172.64.147.129,2053,34,221,1231,6218,1.062519,8255.5
9,172.64.145.66,443,41,0,1059,1124,5.874878,8549.1
10,172.64.147.77,8443,39,224,1323,2098,3.148271,9778.2
11,172.64.147.214,2083,36,238,1336,1262,5.234685,10415.5
12,172.64.147.199,2087,36,235,1534,2322,2.845165,10911.8
