rank,ip,port,old_ms,gstatic_ms,google_ms,source,score
1,172.66.3.63,2053,644,628,893,xray_vless_real_results.csv,722.4
2,172.66.3.56,2087,560,815,636,xray_vless_real_results.csv,726.9
3,172.66.3.74,2083,556,759,775,xray_vless_real_results.csv,744.3
4,172.66.3.62,2083,577,767,810,xray_vless_real_results.csv,763.1
5,172.66.3.76,2096,599,809,750,xray_vless_real_results.csv,767.4
6,172.66.3.63,2083,661,906,616,xray_vless_real_results.csv,780.0
7,172.66.3.68,2087,634,811,774,xray_vless_real_results.csv,780.4
8,172.66.3.63,8443,542,966,627,xray_vless_real_results.csv,805.0
9,172.66.3.63,443,640,749,1022,xray_vless_real_results.csv,833.7
10,172.66.3.74,2087,635,982,806,xray_vless_real_results.csv,885.7
11,172.66.3.57,8443,616,991,805,xray_vless_real_results.csv,888.4
12,172.66.3.61,8443,606,921,938,xray_vless_real_results.csv,895.5
13,172.66.3.67,2096,755,961,837,xray_vless_real_results.csv,897.0
14,172.66.3.56,2096,570,1177,838,xray_vless_real_results.csv,997.6
15,172.66.3.75,8443,710,1251,757,xray_vless_real_results.csv,1024.0
16,104.17.181.145,2083,897,1055,1058,current_best20_realuse,1040.2
17,172.66.3.72,2053,749,2285,778,xray_vless_real_results.csv,1604.0
18,198.41.208.94,2087,1053,1503,2023,xray_vless_real_results.csv,1640.0
19,198.41.208.99,2083,930,2177,1339,xray_vless_real_results.csv,1759.0
20,198.41.208.128,2087,901,1231,3421,xray_vless_real_results.csv,1964.5
